0;Bali;
1;Boracay;
2;Ko Samui;
3;Santorini;
4;Bora Bora;
5;Grand Bahama;
6;Rarotonga;
7;Grand Cayman;
8;Lesina;
9;Capri;
10;Moorea;
11;Zanzibar;
<END>
0;6;1;3200;
0;5;1;3100;
1;4;1;600;
2;5;1;3000;
2;11;1;3200;
3;11;1;2800;
3;6;1;3300;
3;10;1;3000;
3;7;1;2500;
4;1;1;600;
4;9;1;1500;
4;5;1;2000;
5;4;1;2000;
5;2;1;3000;
5;0;1;3100;
6;3;1;3300;
6;0;1;3200;
6;8;1;2500;
7;10;1;800;
7;3;1;2500;
7;8;1;1400;
8;7;1;1400;
8;6;1;2500;
9;4;1;1500;
10;3;1;3000;
10;7;1;800;
11;2;1;3200;
11;3;1;2800;
